a11851_human_90min_hrMS2,a11852_human_90min_hrMS2
0.007654727,0.00770647
0.02039778,0.02480393
0.03332265,0.03668715
0.04691812,0.05094702
0.06027834,0.06575732
0.07460269,0.07768814
0.09170461,0.08922746
0.1056773,0.1006376
0.1194162,0.1138496
0.1335706,0.1214956
0.1481386,0.1351722
0.1626446,0.1481159
0.1770649,0.1626882
0.1882065,0.1731045
0.2012063,0.1870334
0.2151412,0.1989437
0.2297387,0.20756
0.2432552,0.2186472
0.2544006,0.230647
0.2694335,0.2439801
0.2826477,0.2526882
0.296733,0.2659004
0.3073681,0.2818335
0.3200326,0.294679
0.3302574,0.3132159
0.3397444,0.3269407
0.3547378,0.3421527
0.3638504,0.3559797
0.3761395,0.3697542
0.3880331,0.3827728
0.4003952,0.3937662
0.413801,0.4033681
0.4247155,0.4171467
0.4396067,0.4312635
0.4522647,0.4405775
0.4646707,0.456219
0.4780536,0.4662831
0.489989,0.47491
0.4992094,0.4840059
0.5138049,0.4971677
0.5278423,0.5086261
0.5413023,0.5232422
0.5548312,0.5358212
0.5695311,0.5511686
0.5837429,0.561081
0.5973195,0.5714099
0.607805,0.5833721
0.6194715,0.5972073
0.6339978,0.6062008
0.6501288,0.6163589
0.6621264,0.6290753
0.6779762,0.6423979
0.6927841,0.6527579
0.7055085,0.6646828
0.7142377,0.6796033
0.7285938,0.6932781
0.7420725,0.7050275
0.75447,0.7183418
0.7690574,0.7334352
0.7805279,0.7479682
0.7927317,0.7588387
0.8058439,0.7726345
0.8184021,0.7858817
0.8323327,0.7990296
0.8423702,0.8122582
0.8525639,0.8222704
0.8671362,0.8365036
0.8797987,0.8534971
0.8885379,0.8645592
0.8999625,0.874338
0.9099581,0.8902272
0.9261557,0.9030688
0.9349242,0.9157664
0.9477782,0.9282162
0.9587551,0.9440991
0.9717776,0.9572821
0.9849585,0.9701027
1.000031,0.9828543
1.015997,0.9956102
1.031399,1.008696
1.046117,1.022435
1.061121,1.036222
1.076435,1.05183
1.090446,1.060634
1.105437,1.076865
1.116957,1.0855
1.132022,1.097562
1.147151,1.11152
1.160633,1.123632
1.173598,1.141694
1.183464,1.155788
1.196564,1.171996
1.20903,1.185098
1.222638,1.198595
1.233111,1.207385
1.244634,1.222032
1.257315,1.235221
1.266112,1.249321
1.278731,1.260229
1.290101,1.273116
1.302684,1.282129
1.309647,1.296136
1.320626,1.308497
1.329305,1.31859
1.337981,1.327963
1.344929,1.339688
1.35605,1.348356
1.364926,1.357029
1.371681,1.368093
1.380378,1.382287
1.389057,1.394749
1.397728,1.403446
1.406372,1.414627
1.415128,1.424117
1.427629,1.434796
1.440052,1.444729
1.45096,1.453426
1.459994,1.465626
1.469051,1.474343
1.480592,1.485997
1.48737,1.494788
1.49658,1.504092
1.507358,1.513952
1.514284,1.522846
1.523215,1.529602
1.532194,1.538344
1.54086,1.548262
1.547611,1.557026
1.554368,1.565678
1.563017,1.574324
1.569586,1.582892
1.576326,1.592683
1.584946,1.599469
1.591725,1.611323
1.602086,1.620187
1.610721,1.629056
1.619419,1.641478
1.628158,1.650601
1.637174,1.66189
1.643943,1.66849
1.654323,1.678855
1.661124,1.689481
1.669711,1.700052
1.676484,1.711212
1.687284,1.720089
1.696417,1.728745
1.705081,1.737422
1.71376,1.744192
1.722487,1.756045
1.731704,1.766287
1.744522,1.773086
1.751284,1.786333
1.757915,1.795668
1.766976,1.804305
1.776586,1.811068
1.785502,1.819722
1.794623,1.828549
1.803248,1.837212
1.811939,1.845875
1.820809,1.852611
1.827785,1.859607
1.838455,1.870852
1.849788,1.880046
1.856588,1.890487
1.865306,1.897266
1.876683,1.906853
1.88572,1.91361
1.896576,1.922553
1.908082,1.931328
1.919053,1.940996
1.925832,1.949796
1.932415,1.956577
1.9411,1.965485
1.947837,1.97421
1.954586,1.980951
1.963652,1.989646
1.97596,1.998399
1.985024,2.007145
1.997359,2.015818
2.004109,2.02633
2.01277,2.03315
2.021517,2.04555
2.028221,2.054373
2.035163,2.066646
2.045984,2.078037
2.054583,2.084795
2.063435,2.094395
2.075752,2.103053
2.084472,2.112115
2.093182,2.124992
2.104342,2.135404
2.115497,2.144106
2.124571,2.153114
2.131317,2.159902
2.140041,2.168589
2.146819,2.17892
2.158772,2.187616
2.168205,2.197195
2.181716,2.209921
2.194157,2.216869
2.205981,2.227833
2.212752,2.236548
2.223881,2.246673
2.232781,2.255646
2.244075,2.265135
2.253749,2.273809
2.260543,2.284544
2.269622,2.293655
2.280434,2.302667
2.287173,2.312337
2.293974,2.319098
2.304779,2.329798
2.314894,2.33845
2.324671,2.347101
2.333408,2.35384
2.342099,2.360466
2.348845,2.372211
2.357611,2.385038
2.367075,2.393792
2.373815,2.402465
2.380407,2.40921
2.39014,2.417871
2.39984,2.42661
2.408702,2.435326
2.41731,2.44221
2.42791,2.454797
2.436966,2.464574
2.443705,2.473205
2.450297,2.484677
2.459341,2.494979
2.471269,2.509335
2.48195,2.516872
2.490711,2.525582
2.499491,2.532514
2.508156,2.543259
2.51996,2.549994
2.52867,2.556834
2.537357,2.570875
2.544103,2.58416
2.552842,2.592921
2.559478,2.605264
2.568827,2.613941
2.575754,2.625787
