a11853_human_90min_hrMS2,a11854_human_90min_hrMS2
0.007962971,0.008238954
0.03094174,0.02530741
0.0415436,0.03783634
0.05462864,0.05058175
0.06950107,0.06677097
0.08417381,0.08047068
0.09783189,0.0960076
0.1046254,0.1067472
0.1194084,0.1176407
0.1318037,0.1307364
0.1452327,0.1420127
0.156564,0.1552397
0.1680299,0.1689604
0.1800901,0.1808101
0.1940147,0.1916347
0.2084623,0.2032823
0.2221724,0.2200841
0.2372282,0.2346443
0.2503676,0.2473561
0.2635904,0.2613102
0.2771565,0.2748682
0.2903959,0.2862011
0.3082936,0.2992739
0.3210953,0.3128445
0.3479509,0.3265671
0.3603025,0.3401645
0.3740917,0.352204
0.3863604,0.3646368
0.3988288,0.377226
0.4120806,0.3898779
0.4187323,0.4036111
0.4314737,0.4165649
0.444684,0.4251749
0.4578544,0.4354976
0.4665228,0.4487495
0.4751265,0.4623637
0.4819206,0.4766404
0.4920225,0.4899485
0.5043617,0.5053398
0.5178238,0.5139561
0.5290238,0.5225498
0.5406899,0.5313246
0.5542066,0.5400119
0.5654335,0.5539637
0.5782313,0.5639573
0.5938908,0.5776319
0.6056639,0.5912817
0.6199965,0.6042978
0.6346066,0.612758
0.6480812,0.6281596
0.660685,0.641172
0.6738663,0.6523029
0.6827641,0.6639049
0.696197,0.6772276
0.7095508,0.6908708
0.7217191,0.7021688
0.7324211,0.7130806
0.7486517,0.7286031
0.7556099,0.7402281
0.7660202,0.755209
0.7786074,0.7635691
0.7938174,0.7778147
0.8052276,0.7890891
0.8186291,0.8019305
0.8287373,0.8204243
0.8401953,0.8342261
0.8551574,0.8458007
0.8620178,0.8586336
0.878007,0.8737937
0.8906257,0.8854039
0.9029379,0.8985994
0.9141937,0.9101949
0.9261602,0.9254569
0.9383534,0.9366257
0.9506178,0.9485417
0.9664633,0.9602311
0.9776217,0.9726105
0.9915878,0.9882532
1.000983,0.9986696
1.016081,1.012186
1.026731,1.025161
1.038557,1.039965
1.05539,1.052152
1.070584,1.065864
1.084738,1.07556
1.097812,1.088615
1.109948,1.100815
1.123589,1.115694
1.138157,1.131556
1.150957,1.146154
1.165527,1.165341
1.180623,1.178584
1.193017,1.190088
1.201689,1.201494
1.215672,1.21309
1.225855,1.221875
1.237011,1.232264
1.249154,1.244945
1.258985,1.253887
1.267802,1.266411
1.280144,1.275361
1.288866,1.285361
1.300887,1.297925
1.309597,1.308561
1.320486,1.319394
1.32962,1.330072
1.338285,1.342626
1.345043,1.353711
1.351675,1.362759
1.363718,1.374687
1.370318,1.381265
1.380885,1.387865
1.391554,1.399091
1.400645,1.409691
1.413753,1.418541
1.420545,1.427558
1.429192,1.436186
1.437819,1.444957
1.449201,1.454738
1.455837,1.46349
1.467485,1.472146
1.478551,1.481417
1.487612,1.493397
1.496284,1.500183
1.505944,1.506756
1.514615,1.515386
1.523717,1.522133
1.534333,1.530805
1.54711,1.539557
1.556206,1.549722
1.567276,1.559069
1.575934,1.57129
1.582682,1.584014
1.591348,1.597189
1.598111,1.603926
1.607215,1.610488
1.618111,1.617088
1.629777,1.626144
1.638433,1.63294
1.647148,1.642661
1.657982,1.651259
1.664546,1.659888
1.671342,1.670664
1.683506,1.67741
1.690102,1.686072
1.696682,1.696526
1.707711,1.703322
1.716374,1.716886
1.722948,1.726451
1.729531,1.735209
1.736127,1.748123
1.74477,1.759781
1.753457,1.769716
1.760207,1.778385
1.768911,1.787516
1.778573,1.796201
1.785382,1.806048
1.797533,1.814671
1.809912,1.823348
1.81857,1.832105
1.827708,1.841035
1.837276,1.847952
1.846045,1.857466
1.857453,1.864279
1.86603,1.875951
1.874802,1.884611
1.881544,1.893324
1.890325,1.901983
1.901276,1.908748
1.908037,1.917804
1.916735,1.92455
1.928409,1.935066
1.940009,1.943682
1.94677,1.95065
1.955786,1.96367
1.962727,1.972263
1.972475,1.979015
1.981739,1.988515
1.990676,2.001463
2.001243,2.012406
2.010672,2.019198
2.021919,2.032054
2.030584,2.040668
2.039236,2.049316
2.046,2.05907
2.057742,2.070451
2.066408,2.080698
2.078862,2.087792
2.090462,2.094198
2.099141,2.100812
2.111526,2.107412
2.120892,2.119305
2.129521,2.125879
2.136273,2.134576
2.142865,2.141328
2.151527,2.150003
2.160187,2.162842
2.169006,2.174607
2.17767,2.183267
2.186451,2.194231
2.199316,2.201012
2.213532,2.212679
2.222163,2.221718
2.232938,2.23053
2.243125,2.237099
2.252137,2.245794
2.262804,2.252544
2.272131,2.26233
2.280901,2.271973
2.293163,2.280744
2.304671,2.2927
2.314496,2.301593
2.323433,2.308343
2.330179,2.317001
2.33885,2.325743
2.349705,2.334809
2.356491,2.343871
2.366337,2.352513
2.375336,2.362634
2.381928,2.372942
2.390603,2.381918
2.399536,2.390559
2.406498,2.397372
2.415135,2.409741
2.426829,2.422459
2.435499,2.43374
2.445578,2.440673
2.452334,2.450735
2.458762,2.460562
2.468707,2.467341
2.480496,2.476105
2.4892,2.483007
2.497986,2.489759
2.5066,2.496387
2.51532,2.506007
2.522066,2.518636
2.528487,2.525379
2.537224,2.531992
2.546055,2.540581
2.554828,2.550385
2.564753,2.564308
2.573617,2.571058
2.580198,2.579856
2.588835,2.592192
2.597437,2.60199
2.608383,2.61324
2.617064,2.625381
2.626066,2.635519
2.637792,2.644253
2.644532,2.650833
2.653186,2.65947
2.659932,2.668424
2.668623,2.67707
2.67736,2.685728
2.686049,2.694336
2.692996,2.701136
2.704774,2.711968
2.71372,2.718731
2.722697,2.731508
2.732253,2.740114
2.740863,2.749197
2.749523,2.758163
2.758496,2.764936
2.767171,2.773601
2.778146,2.783988
2.788062,2.794736
2.796661,2.805588
2.803431,2.814227
2.812122,2.82297
2.821128,2.832049
2.830958,2.840687
2.837563,2.849532
2.846575,2.858176
2.859173,2.864974
2.867843,2.87459
2.880245,2.881555
2.887014,2.894975
2.893632,2.903704
2.907295,2.912827
2.913894,2.921466
2.920502,2.933653
2.929461,2.945851
2.936242,2.956932
2.947556,2.967044
2.956946,2.973783
2.970145,2.980532
2.978964,2.991531
2.991911,3.000172
3.000526,3.006731
3.010051,3.013312
3.018698,3.021957
3.027854,3.028903
3.036681,3.035463
3.045347,3.044099
3.05212,3.052769
3.060881,3.059511
3.069489,3.068319
3.078176,3.076996
3.08679,3.086316
3.09559,3.093064
3.106221,3.102353
3.112971,3.10912
3.121979,3.12158
3.131323,3.128326
3.140227,3.137046
3.149166,3.143952
3.16096,3.150529
3.172436,3.159108
3.179209,3.165891
3.19137,3.17246
3.200977,3.179041
3.209587,3.187722
3.218356,3.196329
3.229637,3.205035
3.238385,3.213582
3.246976,3.220326
3.255655,3.22898
3.26784,3.237784
3.276446,3.248704
3.28514,3.261579
3.295521,3.270621
3.302108,3.281553
3.308683,3.290422
3.315448,3.299053
3.326698,3.305634
3.33772,3.314347
3.344478,3.323019
3.353186,3.329644
3.359919,3.339696
3.366511,3.348383
3.376573,3.356966
3.385225,3.363743
3.393958,3.372391
3.406142,3.381106
3.418103,3.390103
3.429118,3.401978
3.437717,3.410592
3.449103,3.417357
3.457832,3.427925
3.470302,3.434714
3.479037,3.443308
3.491402,3.452827
3.502212,3.461847
3.516283,3.471057
3.528347,3.48319
3.541615,3.495611
3.552238,3.50739
3.560765,3.516431
3.570317,3.527285
3.579333,3.536824
3.592916,3.547372
3.606345,3.560359
3.617963,3.571478
3.624711,3.583159
3.633248,3.59175
3.640088,3.600319
3.654306,3.607075
3.663287,3.618037
3.672173,3.627175
3.687276,3.636054
3.698834,3.648485
