a11850_human_90min_hrMS2,a11851_human_90min_hrMS2
0.007709403,0.007654727
0.02403839,0.02039778
0.03858806,0.03332265
0.05266249,0.04691812
0.06939117,0.06027834
0.08179091,0.07460269
0.09481772,0.09170461
0.1078405,0.1056773
0.1213629,0.1194162
0.1348544,0.1335706
0.1494249,0.1481386
0.1665682,0.1626446
0.1772993,0.1770649
0.1913866,0.1882065
0.2056571,0.2012063
0.2125965,0.2151412
0.2267291,0.2297387
0.2421768,0.2432552
0.2552578,0.2544006
0.274949,0.2694335
0.2879007,0.2826477
0.3003798,0.296733
0.3148482,0.3073681
0.326194,0.3200326
0.3351829,0.3302574
0.3474597,0.3397444
0.3604803,0.3547378
0.3695237,0.3638504
0.3826112,0.3761395
0.3957255,0.3880331
0.4084978,0.4003952
0.4199746,0.413801
0.4336431,0.4247155
0.4454201,0.4396067
0.4589199,0.4522647
0.4707088,0.4646707
0.4836213,0.4780536
0.4957875,0.489989
0.5071208,0.4992094
0.522764,0.5138049
0.5367199,0.5278423
0.5519696,0.5413023
0.5635235,0.5548312
0.5770085,0.5695311
0.5875165,0.5837429
0.6017832,0.5973195
0.6165056,0.607805
0.6299595,0.6194715
0.6424549,0.6339978
0.6569608,0.6501288
0.6691881,0.6621264
0.682883,0.6779762
0.6916119,0.6927841
0.7050244,0.7055085
0.7158076,0.7142377
0.72452,0.7285938
0.7387005,0.7420725
0.7514459,0.75447
0.7626354,0.7690574
0.7769164,0.7805279
0.7893847,0.7927317
0.8043677,0.8058439
0.8143592,0.8184021
0.8241797,0.8323327
0.8372939,0.8423702
0.8506314,0.8525639
0.8639808,0.8671362
0.876041,0.8797987
0.8888037,0.8885379
0.9023696,0.8999625
0.9169172,0.9099581
0.9311023,0.9261557
0.9447148,0.9349242
0.9581098,0.9477782
0.9684325,0.9587551
0.982297,0.9717776
0.9949736,0.9849585
1.005446,1.000031
1.018204,1.015997
1.032217,1.031399
1.045637,1.046117
1.057114,1.061121
1.06831,1.076435
1.082003,1.090446
1.094707,1.105437
1.108948,1.116957
1.124108,1.132022
1.137745,1.147151
1.150872,1.160633
1.162443,1.173598
1.17638,1.183464
1.189313,1.196564
1.204471,1.20903
1.216312,1.222638
1.225479,1.233111
1.23557,1.244634
1.245468,1.257315
1.254205,1.266112
1.265976,1.278731
1.278086,1.290101
1.286777,1.302684
1.293577,1.309647
