a11856_human_90min_hrMS2,a11857_human_90min_hrMS2
3.11957,3.069284
3.128202,3.075844
3.136839,3.082411
3.143401,3.088984
3.152135,3.097709
3.16272,3.107729
3.171388,3.11931
3.180048,3.137501
3.188667,3.14617
3.195465,3.154861
3.204113,3.165501
3.213053,3.174148
3.2198,3.183502
3.231091,3.19006
3.241122,3.196681
3.249691,3.207596
3.258371,3.216281
3.267098,3.224966
3.277842,3.231547
3.290113,3.237947
3.298758,3.246661
3.305506,3.258838
3.316351,3.279948
3.324991,3.288533
3.333665,3.297183
3.340426,3.30732
3.349253,3.315966
3.358255,3.32287
3.366998,3.329453
3.375531,3.3596
3.382264,3.368212
3.388843,3.377183
3.39546,3.383775
3.403997,3.395733
3.41277,3.404326
3.421385,3.413278
3.431984,3.422972
3.440574,3.435592
3.449161,3.442165
3.458529,3.450781
3.465312,3.457392
3.475596,3.471035
3.484167,3.482927
3.494129,3.492574
3.504493,3.501143
3.511053,3.507722
3.517455,3.516343
3.526146,3.524974
3.532896,3.533636
3.543977,3.544502
3.556846,3.551075
3.568329,3.562541
3.578929,3.574174
3.58752,3.591676
3.597051,3.607075
3.60944,3.61384
3.620497,3.625503
3.632088,3.640919
3.646965,3.649533
3.655493,3.658139
3.66215,3.670608
3.674749,3.682826
3.681318,3.69499
3.693282,3.703673
3.702644,3.712207
3.711257,3.722427
3.72039,3.73491
3.734977,3.74571
3.747591,3.752318
3.754191,3.764872
3.766991,3.771472
3.780436,3.783072
3.790882,3.796584
3.801321,3.807788
3.807894,3.816871
3.816423,3.830858
3.825112,3.842095
3.833656,3.85492
3.843556,3.863497
3.856456,3.872065
3.866295,3.883359
3.877124,3.896402
3.889146,3.911404
3.903041,3.924237
3.910023,3.932937
3.92361,3.946924
3.932714,3.959232
3.945643,3.967959
3.954407,3.979069
3.965088,3.990269
3.97498,4.002777
3.986646,4.011668
3.997775,4.023387
4.012676,4.035922
4.019433,4.04949
4.028508,4.05616
4.03901,4.062734
4.049963,4.071534
4.063955,4.082236
4.076961,4.095788
4.088677,4.107295
4.098052,4.11862
4.111012,4.127197
4.119564,4.139117
4.130357,4.150117
4.137115,4.160975
4.145718,4.173652
4.158051,4.18411
4.166878,4.194598
4.17755,4.205979
4.190043,4.218282
4.198773,4.226834
4.208889,4.235505
4.218693,4.247456
4.230318,4.274852
4.239372,4.290864
4.250969,4.302155
4.26405,4.310753
4.275004,4.323236
4.287117,4.338252
4.299948,4.351663
4.313116,4.361652
4.324361,4.376852
4.339884,4.387022
4.354281,4.399918
4.367335,4.415861
4.381679,4.429884
4.39716,4.443618
4.412374,4.450425
4.426672,4.464745
4.435438,4.477108
4.449106,4.492147
4.461002,4.504515
4.474143,4.519246
4.487472,4.52964
4.502488,4.546696
4.518113,4.559959
4.534302,4.574387
4.545202,4.589326
4.553798,4.603971
4.565403,4.616458
4.580976,4.630181
4.598611,4.644164
4.608486,4.657693
4.6221,4.672186
4.635376,4.689361
4.650808,4.708044
4.665176,4.720179
4.677626,4.733989
4.70414,4.747983
4.719679,4.774313
4.738431,4.800454
4.755295,4.815173
4.773299,4.82792
4.791169,4.845882
4.811602,4.873819
4.825698,4.888427
4.840295,4.908037
4.867805,4.923579
4.878763,4.942513
4.895031,4.973319
4.909658,4.986305
4.927353,5.00682
4.947874,5.026488
4.964059,5.041317
4.984427,5.061952
5.001589,5.089418
5.026066,5.10737
5.047407,5.125276
5.076402,5.138807
5.092835,5.156879
5.118301,5.198705
5.13803,5.220884
5.161225,5.240446
5.184102,5.288447
5.204058,5.324998
5.240005,5.349174
5.267519,5.412369
5.29927,5.463537
5.331828,5.519638
5.362958,5.546664
5.398421,5.573905
5.420717,5.599727
5.459564,5.629041
5.476957,5.654707
5.509465,5.68054
5.536002,5.713897
5.583424,5.739568
5.629457,5.766159
5.654084,5.787771
5.67719,5.818885
5.707998,5.836141
5.736334,5.8601
5.761359,5.882356
5.792308,5.899477
5.815512,5.921963
5.840474,5.953032
5.866921,5.986035
5.920155,6.019536
5.961056,6.042013
5.984927,6.071406
6.025545,6.09488
6.046742,6.131007
6.067258,6.148756
6.111007,6.169433
6.159019,6.19603
6.175347,6.222677
6.202726,6.253953
6.224217,6.272964
6.254239,6.303592
6.279076,6.322464
6.303905,6.350941
6.34486,6.399327
6.393532,6.429852
6.4292,6.457934
6.465399,6.491156
6.510058,6.540985
6.59745,6.58655
6.647382,6.636855
6.685344,6.686996
6.735579,6.736857
6.811135,6.785347
6.860294,6.83553
6.909976,6.885868
6.952063,6.935861
7.002447,6.985243
7.052602,7.035284
7.102336,7.085133
7.152331,7.13555
7.20253,7.185586
7.252903,7.235681
7.302837,7.285345
7.352641,7.335726
7.402998,7.38534
7.452776,7.435722
7.503168,7.485431
7.553426,7.535203
7.603841,7.585337
7.654192,7.63545
7.704643,7.685941
7.75503,7.735896
7.805161,7.785649
7.85491,7.8361
7.905159,7.886333
7.954848,7.936039
8.005153,7.985717
8.055041,8.036193
8.10529,8.085836
8.155185,8.136333
8.204898,8.186065
8.254693,8.235851
8.304364,8.285464
8.354093,8.335504
8.453825,8.385796
8.503635,8.435461
8.553615,8.485823
8.653642,8.535953
8.703643,8.586039
8.753841,8.686378
8.804238,8.736167
8.854137,8.785954
8.903958,8.835637
8.953687,8.885507
9.003792,8.985222
9.053932,9.035105
9.103703,9.085158
9.153943,9.185496
9.203635,9.235903
9.253459,9.285819
9.303889,9.335819
9.354359,9.385539
9.404761,9.43524
9.454803,9.48535
9.504498,9.53504
9.554336,9.584815
9.60538,9.63581
9.654152,9.684574
9.703859,9.734602
9.75381,9.784371
9.803869,9.834152
9.85405,9.884082
9.903686,9.983807
9.953479,10.03343
10.00378,10.08379
10.05342,10.13377
10.10312,10.23381
10.15321,10.28354
10.20368,10.33343
10.25401,10.38309
10.30386,10.43286
10.35368,10.4826
10.40367,10.53233
10.45347,10.58229
10.50384,10.63266
10.5543,10.68235
10.60468,10.732
10.65491,10.7824
10.70465,10.83244
10.75427,10.88242
10.80404,10.93259
10.85425,10.9828
10.90399,11.03245
10.95374,11.08245
11.00398,11.13227
11.05418,11.18206
11.10392,11.23192
11.15407,11.28214
11.20449,11.33184
11.25493,11.38165
11.30459,11.43137
11.35491,11.48165
11.45518,11.53212
11.50512,11.58245
11.55551,11.63267
11.60513,11.68312
11.65533,11.73283
11.69393,11.7681
11.74242,11.81239
11.79196,11.86246
11.84204,11.91211
11.89223,11.96244
11.94262,12.01224
11.99297,12.062
12.04298,12.11193
12.09339,12.16178
12.14382,12.21149
12.19385,12.26129
12.24397,12.31138
12.29437,12.36159
12.34478,12.41191
12.39516,12.46213
12.44477,12.51237
12.49455,12.56269
12.54425,12.61279
12.59444,12.66322
12.64423,12.71304
12.6945,12.76342
12.74418,12.81355
12.79458,12.86328
12.84429,12.91499
12.89491,12.96432
12.94536,13.0143
12.99548,13.06365
13.04522,13.11364
13.09552,13.16376
13.14513,13.21368
13.19483,13.26345
13.24475,13.31358
13.29463,13.36337
13.34454,13.41338
13.39476,13.46344
13.49427,13.51378
13.54453,13.56378
13.59438,13.6142
13.6448,13.66393
13.69462,13.71355
13.74433,13.76368
13.79466,13.81333
13.84494,13.86319
13.89506,13.91328
13.94541,13.96353
13.99529,14.01395
14.04553,14.06433
14.09572,14.11416
14.14542,14.16397
14.19573,14.21389
14.24581,14.26436
14.29615,14.31465
14.3464,14.36472
14.39641,14.41465
14.44681,14.46439
14.49646,14.5147
14.5465,14.56485
14.59679,14.61492
14.64646,14.66476
14.69687,14.71507
14.74714,14.76532
14.79699,14.81555
14.84688,14.86522
14.89734,14.96495
14.94772,15.01469
14.9977,15.06467
15.04744,15.11487
15.09773,15.16472
15.1476,15.21446
15.19727,15.26426
15.24734,15.31405
15.29779,15.36381
15.34811,15.41415
15.39809,15.46463
15.44837,15.51431
15.49826,15.56445
15.54819,15.61471
15.59797,15.66506
15.64759,15.71521
15.69804,15.76534
15.74779,15.8156
15.79743,15.86578
15.84772,15.91586
15.89736,15.96593
15.94698,16.01625
15.99663,16.06653
16.04701,16.117
16.09736,16.16745
16.15104,16.21809
16.19794,16.26864
16.24784,16.31912
16.29795,16.36892
16.34742,16.41864
16.39725,16.46906
16.44702,16.51952
16.49664,16.56983
16.5471,16.61945
16.59748,16.66959
16.6471,16.71996
16.69695,16.77005
16.74735,16.81974
16.79771,16.86999
16.84763,16.92005
16.94794,16.97035
16.99762,17.02052
17.03736,17.07049
17.087,17.12088
17.17563,17.17062
17.2254,17.22037
17.27508,17.27078
17.32557,17.32111
17.37596,17.37142
17.42641,17.42175
17.47602,17.47164
17.52623,17.5221
17.57602,17.57236
17.626,17.62216
17.67595,17.67229
17.72611,17.72263
17.77608,17.77254
17.82632,17.82274
17.87614,17.87263
17.92654,17.9228
17.97626,17.973
18.02649,18.023
18.07614,18.07322
18.12637,18.12362
18.17622,18.17397
18.22591,18.22375
18.27612,18.27347
18.32573,18.32323
18.37613,18.37301
18.4258,18.4234
18.4762,18.47313
18.52663,18.52363
18.57647,18.57385
18.62687,18.67434
18.67684,18.72482
18.72671,18.77498
18.77658,18.82528
18.82701,18.8756
18.8774,18.92582
18.9278,18.97606
18.97804,19.02648
19.02847,19.07659
19.07887,19.12621
19.12925,19.17654
19.17954,19.22692
19.22985,19.27715
19.28019,19.32745
19.3305,19.37727
19.38047,19.42768
19.4305,19.47815
19.48067,19.5279
19.53032,19.57773
19.58053,19.62788
19.63066,19.67808
19.68097,19.72853
19.73136,19.77876
19.78069,19.82907
19.83092,19.87934
19.88077,19.9294
19.93038,19.9798
19.98041,20.02952
20.03039,20.0792
20.08057,20.12952
20.13044,20.17998
20.18067,20.23027
20.23095,20.28057
20.28137,20.33087
20.33165,20.38072
20.38144,20.43066
20.43155,20.48049
20.48177,20.53078
20.53157,20.5807
20.58142,20.63085
20.63118,20.68089
20.68111,20.73116
20.73098,20.78155
20.78091,20.83117
20.83137,20.88105
20.88154,20.93092
20.93163,20.98122
20.9821,21.03084
21.03222,21.0809
21.08248,21.13085
21.13207,21.18047
21.18257,21.23038
21.23295,21.28004
21.28342,21.32985
21.33367,21.38014
21.38415,21.42991
21.43429,21.47955
21.48473,21.52916
21.53462,21.57928
21.58502,21.62967
21.63488,21.67978
21.68461,21.73013
21.7344,21.77989
21.78427,21.83
21.83469,21.88017
21.88441,21.93037
21.93416,21.98071
21.98462,22.03111
22.03456,22.08159
22.0846,22.13197
22.13502,22.1823
22.18526,22.2326
22.23571,22.2828
22.28569,22.3326
22.33567,22.38229
22.38558,22.4325
22.42511,22.47101
22.47481,22.51881
22.52481,22.5627
22.57478,22.61249
22.62472,22.66235
22.67494,22.71215
22.72465,22.76227
22.77505,22.86274
22.82541,22.91281
22.87521,22.96324
22.92504,23.01354
22.97531,23.04974
23.02571,23.09988
23.07913,23.13599
23.12712,23.18659
23.17734,23.23667
23.2272,23.28659
23.27654,23.33651
23.32665,23.38618
23.37471,23.43655
23.4246,23.48655
23.47493,23.53698
23.52479,23.58714
23.57477,23.63745
23.62443,23.68707
23.67409,23.73751
23.72449,23.78793
23.77465,23.83799
23.82464,23.88766
23.87456,23.9343
23.92453,23.97781
23.97424,24.02744
24.02425,24.0774
24.07429,24.17709
24.12399,24.22737
24.17382,24.27711
24.22363,24.32685
24.27403,24.37719
24.32412,24.42706
24.37409,24.47726
24.4241,24.52713
24.4737,24.57685
24.52388,24.62715
24.57387,24.67691
24.62423,24.72691
24.67416,24.77711
24.72397,24.82738
24.7739,24.87775
24.82378,24.9281
24.92324,24.97823
24.97291,25.02797
25.02331,25.07775
25.07357,25.12812
25.12388,25.17856
25.17364,25.22856
25.22396,25.27905
25.27395,25.32917
25.32422,25.37943
25.37389,25.42994
25.42414,25.48036
25.47379,25.53012
25.5239,25.58021
25.57374,25.63035
25.6235,25.6803
25.67336,25.73067
25.72326,25.78102
25.77356,25.83068
25.82322,25.88108
25.87362,25.93149
25.92388,25.98176
25.97422,26.03194
26.02441,26.08206
26.07408,26.13201
26.12046,26.18174
26.17067,26.23135
26.27084,26.28135
26.3212,26.33179
26.37087,26.38175
26.42105,26.4321
26.47266,26.48179
26.52112,26.53199
26.57177,26.58242
26.62158,26.63276
26.67119,26.68286
26.72092,26.73323
26.77065,26.78295
26.82027,26.8332
26.87054,26.88335
26.92017,26.93335
26.9699,26.98353
27.01978,27.03342
27.07004,27.08301
27.12018,27.13321
27.17041,27.18284
27.22073,27.23253
27.27094,27.28288
27.3214,27.33257
27.37114,27.38234
27.42146,27.43264
27.47163,27.48271
27.52176,27.53275
27.57199,27.58261
27.62223,27.63274
27.6726,27.6826
27.72244,27.73251
27.77185,27.78266
27.82165,27.82883
27.87136,27.87851
27.92135,27.92853
27.97123,27.97893
28.02155,28.02924
28.06217,28.07632
28.09871,28.12076
28.14884,28.17083
28.19851,28.22125
28.24078,28.27124
28.2909,28.32137
28.34105,28.37177
28.39085,28.4219
28.44098,28.47225
28.49102,28.52252
28.54143,28.62193
28.59184,28.67216
28.64189,28.72206
28.69204,28.7718
28.74183,28.8219
28.7917,28.87153
28.84131,28.92151
28.8916,28.97171
28.94194,29.02146
28.99177,29.07186
29.04218,29.12205
29.0924,29.17222
29.1428,29.27217
29.19317,29.32215
29.24334,29.37188
29.29306,29.42203
29.34264,29.45592
29.39228,29.50584
29.44208,29.60547
29.49247,29.64951
29.54243,29.68871
29.59223,29.71723
29.64253,29.76709
29.69256,29.80744
29.74288,29.90757
29.7932,29.95721
29.84362,30.00735
29.89336,30.0576
29.94309,30.10724
29.99332,30.15768
30.04359,30.20817
30.09418,30.25795
30.14406,30.30781
30.19435,30.3579
30.24413,30.40827
30.29448,30.45844
30.34479,30.50823
30.39482,30.55867
30.44449,30.6084
30.49485,30.65866
30.54505,30.70862
30.59525,30.75838
30.64504,30.80839
30.69541,30.8588
30.79482,30.90912
30.84447,30.95934
30.89421,31.0096
30.94414,31.05995
30.99444,31.11034
31.0444,31.16082
31.0948,31.21058
31.14447,31.26028
31.19414,31.31014
31.2443,31.35986
31.34473,31.41013
31.39451,31.46053
31.42534,31.50502
31.47522,31.54944
31.52511,31.59088
31.57485,31.64106
31.67497,31.69107
31.72535,31.74151
31.7757,31.79166
31.82546,31.84178
31.87576,31.89165
31.92623,31.9416
31.97605,31.99179
32.02655,32.04223
32.07691,32.09212
32.12659,32.14233
32.17678,32.19249
32.22712,32.24223
32.27685,32.29223
32.32679,32.34251
32.37682,32.44333
32.42689,32.4937
32.47702,32.54412
32.52735,32.59457
32.57729,32.64439
32.6273,32.69422
32.67765,32.74403
32.72797,32.79432
32.77763,32.84472
32.8275,32.89512
32.8775,32.94481
32.92749,32.99509
32.97755,33.04496
33.02736,33.09465
33.07697,33.14432
33.12716,33.1945
33.17688,33.24439
33.22664,33.29411
33.27708,33.34439
33.32697,33.39402
33.37682,33.44384
33.42672,33.49356
33.47633,33.54342
33.52663,33.59375
33.57666,33.64442
33.62696,33.69408
33.67442,33.74413
33.72435,33.79398
33.77406,33.84388
33.82448,33.89374
33.87418,33.94391
33.92449,33.99357
33.97482,34.04367
34.02469,34.0939
34.07436,34.14422
34.12434,34.19389
34.17475,34.24428
34.22462,34.29454
34.27439,34.34503
34.32428,34.39544
34.37453,34.4452
34.42472,34.49521
34.47482,34.54561
34.52512,34.59561
34.57532,34.6454
34.62574,34.69581
34.67542,34.74606
34.72559,34.79652
34.77525,34.84629
34.82511,34.89665
34.87531,34.94699
34.92577,34.99725
34.97558,35.04746
35.02571,35.09746
35.07534,35.14722
35.12524,35.19691
35.17557,35.24735
35.22587,35.29762
35.27625,35.34781
35.32661,35.39782
35.37694,35.44775
35.42673,35.49787
35.47641,35.54755
35.5268,35.59768
35.57693,35.64748
35.62663,35.69772
35.67677,35.73655
35.72722,35.78674
35.77705,35.83636
35.82673,35.88617
35.87643,35.93629
35.92649,35.98621
35.97652,36.03632
36.02695,36.08667
36.07673,36.137
36.12651,36.18731
36.1765,36.23718
36.22639,36.28738
36.32659,36.33707
36.37648,36.38691
36.42658,36.43678
36.47668,36.48723
36.52665,36.5376
36.57672,36.58799
36.62667,36.63776
36.67678,36.68776
36.71977,36.7376
36.76955,36.78791
36.81928,36.83833
36.86954,36.88839
36.91974,36.9387
36.97004,36.9891
37.0205,37.03873
37.07022,37.08879
37.11988,37.13872
37.16977,37.18917
37.22017,37.23879
37.26995,37.28905
37.3197,37.33884
37.37016,37.38903
37.42046,37.43881
37.4706,37.48848
37.52093,37.53845
37.57136,37.58841
37.62133,37.63858
37.67115,37.68825
37.72117,37.73811
37.77083,37.78791
37.82054,37.83764
37.87069,37.88743
37.92074,37.93708
37.97039,37.98707
38.02048,38.0368
38.07055,38.13683
38.12061,38.18697
38.17035,38.23721
38.22033,38.2869
38.27029,38.33668
38.32009,38.38717
38.37047,38.43728
38.42021,38.48708
38.47038,38.53747
38.52008,38.5876
38.56972,38.63781
38.61953,38.68793
38.66973,38.73787
38.71948,38.8242
38.76077,38.86854
38.81078,38.91878
38.86098,38.9686
38.91107,39.01865
38.94533,39.05992
38.99497,39.10979
39.0323,39.14293
39.06119,39.17851
39.1055,39.20831
39.15063,39.24224
39.17868,39.27562
39.21705,39.3044
39.23896,39.34006
39.26094,39.36887
39.31063,39.40039
39.33786,39.42865
39.38225,39.51367
39.43212,39.56361
39.48259,39.59947
39.53243,39.64944
39.5828,39.69931
39.63259,39.74918
39.68266,39.79906
39.73313,39.84948
39.78345,39.89946
39.83345,39.94938
39.88386,39.99905
39.93359,40.0494
39.98389,40.09974
40.03379,40.14984
40.08405,40.20014
40.13385,40.25047
40.18384,40.3009
40.23325,40.35059
40.28326,40.4006
40.3337,40.45058
40.38412,40.50071
40.43412,40.55135
40.48392,40.60126
40.53376,40.65115
40.58404,40.70131
40.63402,40.75171
40.6839,40.80206
40.73434,40.85223
40.7807,40.88769
40.83074,40.93739
40.88049,40.98713
40.93083,41.03731
40.98055,41.08782
41.03054,41.13818
41.13097,41.18856
41.18137,41.23872
41.23176,41.28912
41.28201,41.33929
41.33242,41.38963
41.38236,41.43925
41.43263,41.48897
41.48266,41.53925
41.53292,41.58962
41.58297,41.63934
41.63326,41.68901
41.68355,41.73941
41.73373,41.78978
41.78386,41.84003
41.83355,41.89022
41.88379,41.94073
41.93409,41.99089
41.98454,42.04131
42.03486,42.09156
42.08475,42.14151
42.13446,42.19183
42.18484,42.24194
42.23475,42.29162
42.28439,42.34194
42.33455,42.39161
42.38426,42.44194
42.43459,42.4922
42.48488,42.59239
42.53509,42.64242
42.58535,42.69268
42.63565,42.74236
42.68534,42.79207
42.73554,42.84249
42.78555,42.89214
42.82593,42.92805
42.87559,42.97779
42.92608,43.02745
42.97601,43.07712
43.02584,43.1268
43.07548,43.17698
43.12546,43.22702
43.17578,43.2774
43.22617,43.3278
43.27638,43.37748
43.32624,43.42719
43.37597,43.47713
43.42592,43.52708
43.47627,43.57685
43.52611,43.62647
43.57597,43.67694
43.62632,43.72726
43.67607,43.77727
43.72622,43.82693
43.7759,43.87875
43.82602,43.92738
43.87573,43.97734
43.92613,44.02703
43.97659,44.07745
44.02691,44.12781
44.07666,44.17791
44.12695,44.22765
44.17677,44.278
44.22639,44.32782
44.27642,44.37758
44.32639,44.42749
44.37629,44.47767
44.42661,44.52779
44.47629,44.57803
44.52608,44.62783
44.57574,44.67786
44.62555,44.72816
44.6757,44.77785
44.72575,44.8275
44.77577,44.87752
44.82581,44.92798
44.87554,44.97768
44.92541,45.02744
44.97503,45.07777
45.0252,45.1281
45.07527,45.17835
45.12498,45.22862
45.17543,45.27904
45.22587,45.32917
45.27583,45.37919
45.32547,45.42956
45.37547,45.47931
45.42521,45.52979
45.4749,45.57962
45.5249,45.62992
45.57534,45.67963
45.62562,45.72936
45.67537,45.77942
45.7252,45.82936
45.77507,45.92883
45.82502,45.9787
45.87493,46.02901
45.92513,46.07893
45.97507,46.12917
46.02533,46.17955
46.07503,46.22967
46.12519,46.27987
46.17519,46.32993
46.22545,46.3798
46.27581,46.43026
46.32609,46.48037
46.37638,46.5303
46.42675,46.58
46.47654,46.67942
46.52664,46.72927
46.57624,46.77907
46.62652,46.8292
46.67651,46.87955
46.72657,46.92942
46.77653,46.97921
46.82697,47.02901
46.87699,47.07933
46.92665,47.12965
46.97621,47.18001
47.02615,47.23015
47.07574,47.28054
47.12571,47.33044
47.17598,47.38087
47.22644,47.43069
47.27612,47.48016
47.32601,47.52982
47.37572,47.57955
47.42546,47.62931
47.47564,47.67935
47.52543,47.72968
47.57518,47.77939
47.6255,47.82932
47.67585,47.87958
47.72547,47.92924
47.82592,47.97905
47.87573,48.02878
47.92616,48.07871
47.97606,48.12845
48.0259,48.17831
48.07592,48.22793
48.12572,48.27774
48.1757,48.32745
48.22599,48.37713
48.27579,48.42679
48.32564,48.47667
48.37539,48.52651
48.42506,48.57657
48.52562,48.62619
48.57551,48.67614
48.62588,48.72583
48.6755,48.77557
48.72571,48.82537
48.77551,48.87579
48.82597,48.92549
48.87569,48.9757
48.92562,49.02593
48.97558,49.07603
49.02555,49.12585
49.07554,49.17571
49.12562,49.22613
49.17563,49.27576
49.22561,49.32543
49.27542,49.37585
49.32531,49.42548
49.37561,49.47588
49.4259,49.52589
49.47577,49.57588
49.52557,49.62555
49.57524,49.67522
49.62529,49.72484
49.67509,49.7747
49.72476,49.82462
49.77509,49.87457
49.82536,49.92484
49.87535,49.97528
49.92566,50.02551
49.9759,50.07588
50.0259,50.12623
50.0763,50.17607
