a11852_human_90min_hrMS2,a11853_human_90min_hrMS2
0.00770647,0.007962971
0.02480393,0.03094174
0.03668715,0.0415436
0.05094702,0.05462864
0.06575732,0.06950107
0.07768814,0.08417381
0.08922746,0.09783189
0.1006376,0.1046254
0.1138496,0.1194084
0.1214956,0.1318037
0.1351722,0.1452327
0.1481159,0.156564
0.1626882,0.1680299
0.1731045,0.1800901
0.1870334,0.1940147
0.1989437,0.2084623
0.20756,0.2221724
0.2186472,0.2372282
0.230647,0.2503676
0.2439801,0.2635904
0.2526882,0.2771565
0.2659004,0.2903959
0.2818335,0.3082936
0.294679,0.3210953
0.3132159,0.3348886
0.3269407,0.3479509
0.3421527,0.3603025
0.3559797,0.3740917
0.3697542,0.3863604
0.3827728,0.3988288
0.3937662,0.4120806
0.4033681,0.4187323
0.4171467,0.4314737
0.4312635,0.444684
0.4405775,0.4578544
0.456219,0.4665228
0.4662831,0.4751265
0.47491,0.4819206
0.4840059,0.4920225
0.4971677,0.5043617
0.5086261,0.5178238
0.5232422,0.5290238
0.5358212,0.5406899
0.5511686,0.5542066
0.561081,0.5654335
0.5714099,0.5782313
0.5833721,0.5938908
0.5972073,0.6056639
0.6062008,0.6199965
0.6163589,0.6346066
0.6290753,0.6480812
0.6423979,0.660685
0.6527579,0.6738663
0.6646828,0.6827641
0.6796033,0.696197
0.6932781,0.7095508
0.7050275,0.7217191
0.7183418,0.7324211
0.7334352,0.7486517
0.7479682,0.7556099
0.7588387,0.7660202
0.7726345,0.7786074
0.7858817,0.7938174
0.7990296,0.8052276
0.8122582,0.8186291
0.8222704,0.8287373
0.8365036,0.8401953
0.8534971,0.8551574
0.8645592,0.8620178
0.874338,0.878007
0.8902272,0.8906257
0.9030688,0.9029379
0.9157664,0.9141937
0.9282162,0.9261602
0.9440991,0.9383534
0.9572821,0.9506178
0.9701027,0.9664633
0.9828543,0.9776217
0.9956102,0.9915878
1.008696,1.000983
1.022435,1.016081
1.036222,1.026731
1.05183,1.038557
1.060634,1.05539
1.076865,1.070584
1.0855,1.084738
1.097562,1.097812
1.11152,1.109948
1.123632,1.123589
1.141694,1.138157
1.155788,1.150957
1.171996,1.165527
1.185098,1.180623
1.198595,1.193017
1.207385,1.201689
1.222032,1.215672
1.235221,1.225855
