a11855_human_90min_hrMS2,a11856_human_90min_hrMS2
0.007900015,0.007702173
0.02673674,0.02272089
0.04132619,0.03714097
0.05618827,0.05244488
0.06735059,0.0684383
0.08541241,0.0855754
0.09867693,0.1005793
0.1094805,0.1159434
0.1215345,0.1307203
0.1350553,0.1393575
0.1496776,0.1531594
0.1634027,0.1647817
0.1775458,0.1790315
0.1890768,0.1919625
0.2023472,0.2005851
0.2180825,0.2092182
0.2298198,0.2211478
0.238557,0.2332511
0.25249,0.2459111
0.2647477,0.256882
0.2795622,0.2698398
0.2924161,0.2819373
0.3065242,0.2919082
0.3207611,0.3049349
0.3308275,0.3181618
0.3462231,0.3313549
0.3593606,0.3434879
0.3724119,0.3566231
0.3871431,0.368742
0.3986094,0.3786266
0.4122485,0.387181
0.422761,0.3958809
0.4348773,0.405314
0.4474145,0.4186074
0.4592893,0.4304652
0.4729139,0.4433089
0.4815492,0.4541125
0.4944261,0.4684227
0.5064504,0.4823139
0.5191233,0.4958114
0.5299582,0.5065345
0.5448725,0.5193381
0.5587307,0.5293128
0.5678699,0.5431689
0.5806822,0.5558228
0.5910234,0.5674163
0.6036898,0.5794824
0.6157126,0.5909697
0.6285555,0.6059402
0.6353895,0.6200691
0.6497804,0.6288687
0.661553,0.6438437
0.6760883,0.6552369
0.6848587,0.6687719
0.6990814,0.6802261
0.7122812,0.694634
0.7260203,0.7077502
0.7380512,0.7205418
0.7516218,0.7336811
0.7626052,0.742937
0.7755963,0.7534908
0.7905458,0.7621303
0.8029726,0.7740301
0.8141832,0.7868901
0.8280451,0.7991356
0.8409469,0.8139021
0.8537214,0.826739
0.8666752,0.8414598
0.8792105,0.8568987
0.8901227,0.8700132
0.9033744,0.8823502
0.9180847,0.8973481
0.9287426,0.9120204
0.9417464,0.9246828
0.9531961,0.9352078
0.9658067,0.9479049
0.9787689,0.9599403
0.9916767,0.9736295
1.004722,0.9869624
1.018418,1.000829
1.031969,1.015678
1.046417,1.028255
1.060275,1.041969
1.075914,1.055288
1.087601,1.070333
1.102409,1.083896
1.112795,1.096622
1.127677,1.11217
1.140306,1.129363
1.1583,1.143294
1.170148,1.157702
1.184274,1.17076
1.199607,1.18453
1.212394,1.191333
1.224746,1.204414
1.239573,1.215615
1.248212,1.2289
1.260045,1.242469
1.271585,1.254567
1.281632,1.267089
1.292186,1.278087
1.298945,1.286762
1.309586,1.296136
1.321669,1.306919
1.333112,1.31729
1.342297,1.325933
1.351458,1.332738
1.362914,1.341885
1.371611,1.353752
1.37838,1.360558
1.387468,1.373214
1.399312,1.381832
1.405909,1.390805
1.415477,1.397432
1.42747,1.408267
1.439708,1.419811
1.448366,1.428479
1.454995,1.435232
1.464992,1.443831
1.476542,1.455943
1.483306,1.467097
1.489942,1.48039
1.502133,1.486964
1.508927,1.495629
1.520643,1.502384
1.530257,1.510998
1.537033,1.519742
1.549863,1.528391
1.556674,1.537087
1.568207,1.545726
1.58065,1.552485
1.587446,1.561147
1.596939,1.56808
1.609378,1.576719
1.616131,1.585321
1.624841,1.591894
1.634605,1.600542
1.644207,1.612019
1.650963,1.620818
1.659646,1.627595
1.666406,1.634185
1.677781,1.645257
1.686496,1.653959
1.697041,1.667026
1.703605,1.675692
1.710195,1.684461
1.718867,1.693725
1.72563,1.70236
1.735763,1.71102
1.744471,1.720085
1.755983,1.728781
1.762556,1.737426
1.769137,1.750317
