a11854_human_90min_hrMS2,a11855_human_90min_hrMS2
0.008238954,0.007900015
0.02530741,0.02673674
0.03783634,0.04132619
0.05058175,0.05618827
0.06677097,0.06735059
0.08047068,0.08541241
0.0960076,0.09867693
0.1067472,0.1094805
0.1176407,0.1215345
0.1307364,0.1350553
0.1420127,0.1496776
0.1552397,0.1634027
0.1689604,0.1775458
0.1808101,0.1890768
0.1916347,0.2023472
0.2032823,0.2180825
0.2200841,0.2298198
0.2346443,0.238557
0.2473561,0.25249
0.2613102,0.2647477
0.2748682,0.2795622
0.2862011,0.2924161
0.2992739,0.3065242
0.3128445,0.3207611
0.3265671,0.3308275
0.3401645,0.3462231
0.352204,0.3593606
0.3646368,0.3724119
0.377226,0.3871431
0.3898779,0.3986094
0.4036111,0.4122485
0.4165649,0.422761
0.4251749,0.4348773
0.4354976,0.4474145
0.4487495,0.4592893
0.4623637,0.4729139
0.4766404,0.4815492
0.4899485,0.4944261
0.5053398,0.5064504
0.5139561,0.5191233
0.5225498,0.5299582
0.5313246,0.5448725
0.5400119,0.5587307
0.5539637,0.5678699
0.5639573,0.5806822
0.5776319,0.5910234
0.5912817,0.6036898
0.6042978,0.6157126
0.612758,0.6285555
0.6281596,0.6353895
0.641172,0.6497804
0.6523029,0.661553
0.6639049,0.6760883
0.6772276,0.6848587
0.6908708,0.6990814
0.7021688,0.7122812
0.7130806,0.7260203
0.7286031,0.7380512
0.7402281,0.7516218
0.755209,0.7626052
0.7635691,0.7755963
0.7778147,0.7905458
0.7890891,0.8029726
0.8019305,0.8141832
0.8204243,0.8280451
0.8342261,0.8409469
0.8458007,0.8537214
0.8586336,0.8666752
0.8737937,0.8792105
0.8854039,0.8901227
0.8985994,0.9033744
0.9101949,0.9180847
0.9254569,0.9287426
0.9366257,0.9417464
0.9485417,0.9531961
0.9602311,0.9658067
0.9726105,0.9787689
0.9882532,0.9916767
0.9986696,1.004722
1.012186,1.018418
1.025161,1.031969
1.039965,1.046417
1.052152,1.060275
1.065864,1.075914
1.07556,1.087601
1.088615,1.102409
1.100815,1.112795
1.115694,1.127677
1.131556,1.140306
1.146154,1.1583
1.165341,1.170148
1.178584,1.184274
1.190088,1.199607
1.201494,1.212394
1.21309,1.224746
1.221875,1.239573
1.232264,1.248212
1.244945,1.260045
1.253887,1.271585
1.266411,1.281632
1.275361,1.292186
1.285361,1.298945
1.297925,1.309586
1.308561,1.321669
1.319394,1.333112
1.330072,1.342297
1.342626,1.351458
1.353711,1.362914
1.362759,1.371611
1.374687,1.37838
1.381265,1.387468
1.387865,1.399312
1.399091,1.405909
1.409691,1.415477
1.418541,1.42747
1.427558,1.439708
1.436186,1.448366
1.444957,1.454995
1.454738,1.464992
1.46349,1.476542
1.472146,1.483306
1.481417,1.489942
1.493397,1.502133
1.500183,1.508927
1.506756,1.520643
1.515386,1.530257
1.522133,1.537033
1.530805,1.549863
1.539557,1.556674
1.549722,1.568207
1.559069,1.58065
1.57129,1.587446
1.584014,1.596939
1.597189,1.609378
1.603926,1.616131
1.610488,1.624841
1.617088,1.634605
1.626144,1.644207
1.63294,1.650963
1.642661,1.659646
1.651259,1.666406
1.659888,1.677781
1.670664,1.686496
1.67741,1.697041
1.686072,1.703605
1.696526,1.710195
1.703322,1.718867
1.716886,1.72563
1.726451,1.735763
1.735209,1.744471
1.748123,1.755983
1.759781,1.762556
1.769716,1.769137
1.778385,1.7778
1.787516,1.786556
1.796201,1.795247
1.806048,1.80633
1.814671,1.816255
1.823348,1.825328
1.832105,1.834309
1.841035,1.843867
1.847952,1.852536
1.857466,1.861175
1.864279,1.872402
1.875951,1.881393
1.884611,1.890122
1.893324,1.898774
1.901983,1.907455
1.908748,1.916184
1.917804,1.927387
1.92455,1.934125
1.935066,1.940706
1.943682,1.949364
1.95065,1.956323
1.96367,1.964983
1.972263,1.973668
1.979015,1.983097
1.988515,1.994357
2.001463,2.002984
2.012406,2.009569
2.019198,2.018315
2.032054,2.024915
2.040668,2.035533
2.049316,2.04676
2.05907,2.056722
2.070451,2.065706
2.080698,2.074332
2.087792,2.083332
2.094198,2.095184
2.100812,2.104198
2.107412,2.115089
2.119305,2.121864
2.134576,2.130426
2.141328,2.137177
2.150003,2.145883
2.162842,2.15758
2.174607,2.166305
2.183267,2.17498
2.194231,2.181753
2.201012,2.190454
2.212679,2.201262
2.221718,2.210062
2.23053,2.218683
2.237099,2.225429
2.245794,2.234085
2.252544,2.244364
2.26233,2.254963
2.271973,2.263991
2.280744,2.27264
2.2927,2.279196
2.301593,2.285859
2.308343,2.298446
2.317001,2.307512
2.325743,2.316262
2.334809,2.327862
2.343871,2.336526
2.352513,2.347594
2.362634,2.35938
2.372942,2.368528
2.381918,2.377508
2.390559,2.384094
2.397372,2.392762
2.409741,2.402912
2.422459,2.411572
2.43374,2.420291
2.440673,2.429382
2.450735,2.438513
2.460562,2.445259
2.467341,2.453951
2.476105,2.463236
2.483007,2.469815
2.489759,2.478525
2.496387,2.487351
2.518636,2.493924
2.525379,2.502591
2.531992,2.515216
2.540581,2.524123
2.550385,2.530892
2.564308,2.539523
2.571058,2.54628
2.579856,2.556345
2.592192,2.563096
2.60199,2.571779
2.61324,2.580654
2.625381,2.592893
2.635519,2.599457
2.644253,2.606019
2.650833,2.612591
2.65947,2.623113
2.668424,2.631913
2.67707,2.644488
2.685728,2.655777
2.694336,2.662523
2.701136,2.671145
2.711968,2.679854
2.718731,2.688489
2.731508,2.699643
2.740114,2.710307
2.749197,2.720407
2.758163,2.731787
2.764936,2.738521
2.773601,2.745102
2.783988,2.751706
2.794736,2.758481
2.805588,2.770379
2.814227,2.780818
2.82297,2.79334
2.832049,2.804148
2.840687,2.812765
2.849532,2.819537
2.858176,2.826319
2.864974,2.838212
2.87459,2.849785
2.881555,2.861701
2.894975,2.875696
2.903704,2.882451
2.912827,2.892763
2.921466,2.901433
2.933653,2.908167
2.945851,2.914746
2.956932,2.923446
2.967044,2.931985
2.973783,2.938562
2.980532,2.945145
2.991531,2.95382
3.000172,2.960603
3.006731,2.973703
3.013312,2.982359
3.021957,2.991069
3.028903,2.999744
3.035463,3.008373
3.044099,3.017048
3.052769,3.028741
3.059511,3.03567
3.068319,3.044372
3.076996,3.053049
3.086316,3.061849
3.093064,3.070904
3.102353,3.077675
3.10912,3.086358
3.12158,3.093093
3.128326,3.099675
3.137046,3.108291
3.143952,3.115026
3.150529,3.121639
3.159108,3.130247
3.165891,3.13702
3.17246,3.148579
3.179041,3.155373
3.187722,3.16178
3.196329,3.170557
3.205035,3.183512
3.213582,3.190344
3.220326,3.203356
3.22898,3.210314
3.237784,3.222064
3.248704,3.233066
3.261579,3.242242
3.270621,3.255034
3.281553,3.26654
3.290422,3.279568
3.299053,3.286533
3.305634,3.297222
3.314347,3.303951
3.323019,3.310511
3.329644,3.317105
3.339696,3.32627
3.348383,3.332911
3.356966,3.342426
3.363743,3.351077
3.372391,3.359771
3.381106,3.368365
3.390103,3.377043
3.401978,3.388964
3.410592,3.397739
3.417357,3.410832
3.427925,3.417603
3.434714,3.42748
3.443308,3.436071
3.452827,3.444616
3.461847,3.451213
3.471057,3.460883
3.48319,3.467475
3.495611,3.478276
3.50739,3.487941
3.516431,3.496595
3.527285,3.509507
3.536824,3.522353
3.547372,3.533506
3.560359,3.543908
3.571478,3.555868
3.583159,3.569593
3.59175,3.578174
3.600319,3.59104
3.607075,3.59762
3.618037,3.606232
3.627175,3.617402
3.636054,3.630192
3.648485,3.639331
3.659095,3.650343
3.669369,3.661616
3.681986,3.670239
3.695075,3.683424
3.704387,3.69553
3.711379,3.707473
3.726697,3.71936
3.738736,3.725946
3.745307,3.736414
3.751889,3.748689
3.76064,3.761657
3.772907,3.770601
3.784704,3.77922
3.797408,3.792436
3.811237,3.804756
3.820243,3.815808
3.832218,3.825821
3.844772,3.834437
3.858165,3.846122
3.864984,3.856297
3.876769,3.869103
3.886437,3.882461
3.895141,3.892294
3.906083,3.904685
3.916134,3.915429
3.924982,3.925723
3.935046,3.934301
3.947248,3.944818
3.955815,3.959826
3.964535,3.970167
3.978004,3.978725
3.988714,3.987404
3.998835,3.996475
4.011199,4.006562
4.024536,4.015145
4.035357,4.021766
4.049146,4.028197
4.057769,4.036766
4.067408,4.046032
4.079483,4.056627
4.086072,4.063209
4.096246,4.072223
4.103009,4.085989
4.112011,4.100687
4.123361,4.114599
4.136231,4.127218
4.145037,4.134957
4.155969,4.149365
4.166758,4.158298
4.175691,4.171631
4.187962,4.184857
4.202434,4.200151
4.211627,4.210357
4.225163,4.222393
4.239167,4.234559
4.249902,4.248829
4.262699,4.262314
4.275376,4.271891
4.287734,4.281895
4.302813,4.296024
4.315092,4.310553
4.32691,4.322071
4.338887,4.332879
4.35197,4.346294
4.363439,4.359556
4.372997,4.371799
4.384261,4.388132
4.397171,4.402245
4.411366,4.40887
4.423694,4.419758
4.438141,4.426444
4.452061,4.441941
4.464241,4.458282
4.476805,4.471757
4.493171,4.487092
4.506231,4.50034
4.517612,4.515081
4.530751,4.528552
4.543639,4.542666
4.558611,4.551824
4.573105,4.564478
4.588092,4.578926
4.602067,4.592669
4.619103,4.612396
4.635824,4.626208
4.647638,4.643412
4.658828,4.652528
4.674348,4.667137
4.688673,4.681209
4.703816,4.69364
4.719683,4.713394
4.733695,4.732887
4.750093,4.747278
4.765542,4.769407
4.781725,4.781061
4.820992,4.797137
4.834223,4.811716
4.856456,4.833918
4.875947,4.84832
4.891099,4.865525
4.920063,4.893877
4.940354,4.918735
4.966866,4.944473
4.985601,4.971912
5.003613,4.995006
5.027278,5.021467
5.048423,5.045517
5.062884,5.067802
5.079201,5.084118
5.099684,5.107186
5.120013,5.132867
5.138362,5.149112
5.169828,5.174853
5.182257,5.202382
5.204895,5.231536
5.233803,5.245317
5.255065,5.269539
5.281004,5.301011
5.312754,5.323002
5.329264,5.345245
5.353991,5.372463
5.380892,5.393905
5.434018,5.429317
5.457465,5.455204
5.504595,5.484184
5.52168,5.50476
5.536992,5.53106
5.561459,5.549934
5.584222,5.575513
5.624663,5.594516
5.647044,5.619531
5.674602,5.644238
5.697812,5.666867
5.714153,5.710839
5.734019,5.743836
5.760612,5.78507
5.787837,5.817115
5.811994,5.853403
5.842725,5.925111
5.869853,5.949396
5.904278,5.983108
5.939745,6.012174
5.973128,6.038973
6.010919,6.063052
6.046987,6.082753
6.081317,6.110865
6.10748,6.147554
6.154278,6.213529
6.198462,6.241662
6.248857,6.329412
6.298277,6.369728
6.348053,6.410973
6.398295,6.460974
6.448442,6.507724
6.498564,6.557907
6.548358,6.608101
6.597983,6.657981
6.647777,6.695245
6.685266,6.745565
6.7352,6.795628
6.773088,6.845714
6.822885,6.887553
6.873265,6.937912
6.922866,6.986632
6.972755,7.036844
7.022639,7.087295
7.072988,7.137494
7.123387,7.187227
7.173121,7.236845
7.223186,7.287246
7.27305,7.337111
7.322972,7.387369
7.373316,7.437811
7.422982,7.487474
7.472773,7.537165
7.522634,7.586841
7.57237,7.636481
7.622246,7.686301
7.672032,7.735942
7.721718,7.785628
7.771565,7.836012
7.821585,7.885967
7.871888,7.935745
7.922285,7.985434
7.971972,8.086194
8.021681,8.136597
8.071558,8.186496
8.12158,8.236203
8.171446,8.286006
8.221232,8.335828
8.271443,8.385718
8.321348,8.436067
8.371307,8.486553
8.471239,8.536396
8.521304,8.586072
8.571284,8.635852
8.671679,8.686145
8.771482,8.736519
8.821279,8.78622
8.871667,8.836339
8.92147,8.886351
8.971228,8.936068
9.021065,8.985715
9.220961,9.035679
9.270593,9.085521
9.320492,9.185815
9.370551,9.235869
9.420656,9.285657
9.470805,9.335329
9.520818,9.436117
9.570847,9.486337
9.621354,9.536777
9.671465,9.587095
9.720939,9.637204
9.771205,9.687063
9.820908,9.736583
9.870794,9.786271
9.921143,9.836495
9.971189,9.936335
10.02132,9.986158
10.07141,10.03636
10.12177,10.0868
10.17167,10.13695
10.22168,10.18737
10.27141,10.2378
10.32181,10.2881
10.37172,10.33779
10.42165,10.38806
10.47174,10.43826
10.52164,10.48789
10.57147,10.53818
10.6216,10.58835
10.6716,10.63805
10.7216,10.73792
10.7715,10.78761
10.82195,10.83755
10.87197,10.88796
10.92183,10.93764
10.97205,11.03785
11.02199,11.08768
11.07232,11.13751
11.12224,11.18731
11.17202,11.23717
11.22191,11.2871
11.27176,11.33758
11.32157,11.38723
11.37145,11.43751
11.42129,11.48764
11.47132,11.53736
11.52139,11.63824
11.57138,11.68862
11.62183,11.7238
11.65748,11.77184
11.70791,11.82201
11.75801,11.87169
11.80829,11.92163
11.85816,11.97146
11.90858,12.02159
11.95835,12.07128
12.00824,12.12095
12.05838,12.17136
12.1087,12.2213
12.1591,12.2715
12.20935,12.32116
12.25901,12.37158
12.30878,12.42132
12.35858,12.47128
12.40862,12.5216
12.45841,12.57187
12.50876,12.62149
12.5585,12.67169
12.60882,12.72155
12.65902,12.77401
12.71077,12.82269
12.7595,12.87266
12.8097,12.92264
12.85963,12.97239
12.9095,13.02207
12.95997,13.07182
13.00969,13.12167
13.0601,13.17137
13.1098,13.22135
13.15965,13.2711
13.20947,13.32088
13.25969,13.37077
13.30993,13.42078
13.36021,13.47098
13.46055,13.52113
13.51027,13.57104
13.55994,13.6215
13.60956,13.67111
13.65984,13.72161
13.71,13.77119
13.76041,13.82086
13.81048,13.8706
13.86074,13.92096
13.91092,13.9707
13.96104,14.02051
14.01074,14.07019
14.06041,14.12022
14.11064,14.17005
14.16039,14.21979
14.26046,14.26939
14.31063,14.319
14.36104,14.36924
14.4111,14.41963
14.51098,14.46945
14.56105,14.51977
14.61118,14.56991
14.66097,14.62028
14.71107,14.6699
14.76107,14.71963
14.8111,14.76929
14.8611,14.81919
14.91113,14.86952
14.96142,14.91971
15.0118,14.97001
15.06227,15.02031
15.11199,15.07023
15.16173,15.12023
15.21157,15.17003
15.26145,15.21988
15.31186,15.26982
15.36153,15.32015
15.41139,15.3703
15.46184,15.42075
15.51211,15.4709
15.56206,15.57137
15.61191,15.6717
15.66157,15.72189
15.71195,15.87204
15.76171,15.92201
15.81158,15.97213
15.8617,16.02237
15.91144,16.07243
15.96298,16.12388
16.01156,16.1734
16.06125,16.22328
16.11078,16.27326
16.16077,16.32334
16.21058,16.37376
16.26056,16.42413
16.31096,16.47382
16.36063,16.52415
16.4105,16.57442
16.4603,16.62473
16.51047,16.67475
16.56055,16.72499
16.6102,16.77537
16.65993,16.82506
16.76008,16.87515
16.81016,16.92479
16.86036,16.97515
16.91053,17.02533
16.9604,17.07495
17.01052,17.1254
17.06015,17.1754
17.11036,17.2258
17.1601,17.27547
17.21027,17.32532
17.25989,17.3758
17.31021,17.42591
17.35988,17.47611
17.46049,17.52653
17.51038,17.5767
17.56039,17.62699
17.61032,17.67686
17.66052,17.72654
17.71045,17.77686
17.76042,17.82672
17.80555,17.87679
17.85552,17.9271
17.9054,17.97687
17.95582,18.02667
18.006,18.07639
18.10597,18.12618
18.15624,18.17592
18.20626,18.22613
18.25608,18.27586
18.30584,18.32578
18.4053,18.37543
18.45547,18.4251
18.50558,18.47479
18.55526,18.52513
18.60505,18.57543
18.65471,18.62563
18.70439,18.67576
18.75416,18.72595
18.80431,18.77556
18.85437,18.82519
18.90457,18.8749
18.95473,18.92498
19.00503,18.97545
19.05473,19.02511
19.10452,19.07548
19.15479,19.12524
19.20491,19.17494
19.25465,19.22535
19.3043,19.27549
19.35584,19.32543
19.40493,19.37578
19.45472,19.42544
19.50452,19.47558
19.55435,19.52593
19.60402,19.57596
19.6543,19.62548
19.70464,19.67533
19.75508,19.72551
19.80544,19.77583
19.85564,19.82579
19.90576,19.87601
19.95538,19.92612
20.00556,19.97626
20.05548,20.02675
20.10548,20.07662
20.15528,20.12642
20.20529,20.17682
20.2549,20.22717
20.30468,20.32753
20.35501,20.37726
20.40534,20.42752
20.45544,20.47796
20.50516,20.57781
20.5555,20.62803
20.60517,20.67834
20.65477,20.72866
20.70455,20.77873
20.75437,20.82836
20.80481,20.87861
20.85509,20.92888
20.90475,20.97894
20.95486,21.02885
21.00487,21.07908
21.05485,21.12946
21.10501,21.17994
21.15463,21.23042
21.2044,21.28021
21.2546,21.3306
21.30494,21.38044
21.35539,21.43077
21.40575,21.48044
21.50521,21.5304
21.55529,21.58067
21.60561,21.63114
21.65534,21.68113
21.75488,21.73146
21.80469,21.78171
21.85513,21.83214
21.90562,21.88187
21.95565,21.9318
22.00533,21.98173
22.05552,22.03199
22.10581,22.08247
22.15612,22.13252
22.20608,22.18283
22.2564,22.23302
22.30681,22.28293
22.35678,22.33302
22.40698,22.38306
22.45659,22.43335
22.50686,22.48353
22.55733,22.53363
22.60765,22.58379
22.65736,22.63418
22.70754,22.68424
22.75758,22.73451
22.80754,22.78429
22.85729,22.82138
22.90769,22.87149
22.95791,22.92169
23.00773,22.97176
23.05787,23.02192
23.10805,23.07181
23.15798,23.1218
23.20817,23.22083
23.25786,23.27109
23.3077,23.32149
23.35743,23.37117
23.40711,23.41454
23.4573,23.51484
23.50765,23.61444
23.55751,23.66416
23.60782,23.71437
23.65782,23.76402
23.70769,23.81374
23.75762,23.86413
23.80784,23.91395
23.85781,23.9638
23.90798,24.01376
23.95809,24.1134
24.00843,24.16317
24.05878,24.21288
24.10891,24.26316
24.15907,24.31356
24.20918,24.36376
24.25956,24.41367
24.30924,24.46361
24.35896,24.51409
24.40862,24.56383
24.45828,24.61389
24.50788,24.66378
24.55813,24.71347
24.60843,24.76394
24.65811,24.81412
24.7081,24.86442
24.75788,24.91412
24.80776,24.96435
24.85804,25.01415
24.9077,25.06447
24.95742,25.11487
25.00749,25.16455
25.05774,25.21484
25.15707,25.26465
25.20757,25.31448
25.2579,25.36485
25.30753,25.41527
25.35753,25.46495
25.45695,25.51527
25.50712,25.56568
25.55718,25.6156
25.60761,25.66563
25.65732,25.71554
25.70729,25.76583
25.75706,25.81627
25.80699,25.86666
25.85693,25.91647
25.95679,25.96666
26.00658,26.01647
26.05672,26.06652
26.10705,26.11645
26.15673,26.16612
26.20695,26.21638
26.25839,26.2661
26.30757,26.31575
26.35748,26.36543
26.40761,26.41576
26.45717,26.46553
26.50707,26.51555
26.55745,26.56479
26.60744,26.6151
26.65778,26.66515
26.70811,26.71529
26.75853,26.76565
26.809,26.81597
26.85864,26.86602
26.90838,26.91625
26.95859,26.96664
27.00904,27.01669
27.05944,27.06631
27.10989,27.11676
