a11857_human_90min_hrMS2,a11858_human_90min_hrMS2
0.007735518,0.007671619
0.0230893,0.02253153
0.03179326,0.03752066
0.04731585,0.05083701
0.06173403,0.06314097
0.07751093,0.07626599
0.08770058,0.08993202
0.09653329,0.1033335
0.1119995,0.1162481
0.120133,0.129729
0.1287202,0.1427392
0.1417802,0.1562514
0.1554259,0.1706489
0.1671173,0.1838716
0.1804834,0.1955276
0.1930664,0.2061396
0.2046558,0.2152668
0.2160536,0.2286724
0.2287219,0.2426887
0.2406652,0.2519721
0.2507568,0.2605987
0.2615171,0.2695633
0.2702334,0.281592
0.2800437,0.293921
0.2935787,0.3078705
0.3068306,0.3201036
0.3192615,0.3320349
0.3332235,0.3460614
0.3418902,0.3546967
0.3539003,0.3634297
0.3651185,0.373661
0.3721061,0.3849063
0.3862245,0.396381
0.3964513,0.4056392
0.4066887,0.4143141
0.4152613,0.4279739
0.4239068,0.4399237
0.4343862,0.4509235
0.4447503,0.4614608
0.457783,0.474325
0.4696121,0.4857539
0.4822452,0.4982662
0.4936951,0.5108596
0.5058987,0.5237862
0.5177464,0.5357256
0.5305834,0.5484005
0.5429521,0.5550919
0.5560497,0.5687333
0.5685179,0.5773875
0.5830928,0.5911097
0.5940298,0.6004329
0.60584,0.6139322
0.6151381,0.6247818
0.6305707,0.6333982
0.6420102,0.6453981
0.6559767,0.6603104
0.666449,0.6700976
0.6814366,0.6826513
0.6937563,0.6933616
0.7006339,0.7031862
0.7157124,0.7167674
0.7299142,0.7299481
0.7422308,0.7396583
0.7580301,0.7532434
0.7687531,0.7655287
0.7824504,0.7793159
0.7962193,0.791955
0.8110541,0.8044486
0.8196829,0.817921
0.8289453,0.8310561
0.841222,0.8426834
0.8534468,0.8552389
0.867313,0.8677928
0.8776231,0.8764617
0.8867148,0.8898258
0.9016893,0.9001941
0.9114119,0.9112544
0.9201098,0.9250271
0.9329535,0.9400516
0.9448864,0.9531809
0.9594173,0.9678174
0.9743771,0.9833253
0.9839604,0.9978502
0.9966725,1.012223
1.005777,1.023493
1.018451,1.037754
1.031007,1.051566
1.04383,1.065657
1.059244,1.079421
1.068717,1.090221
1.082377,1.1009
1.094581,1.114856
1.109174,1.128772
1.120134,1.140457
1.134494,1.152991
1.154246,1.165655
1.169269,1.180277
1.181893,1.195296
1.19342,1.206122
1.207076,1.220645
1.220957,1.229299
1.232942,1.238426
1.244515,1.247053
1.254602,1.255742
1.263268,1.264742
1.270027,1.274637
1.278714,1.283273
1.287347,1.295043
1.295949,1.301787
1.304968,1.310378
1.31404,1.319007
1.325285,1.325632
1.331902,1.335878
1.340513,1.344509
1.351087,1.353208
1.360074,1.361852
1.367043,1.37065
1.37567,1.38207
1.385711,1.388674
1.394778,1.395243
1.40155,1.401824
1.408136,1.410436
1.416865,1.419072
1.429246,1.427717
1.437912,1.436344
1.449484,1.445848
1.456222,1.456213
1.46283,1.464852
1.475365,1.476108
1.482111,1.48627
1.490747,1.497959
1.501844,1.50684
1.510533,1.51854
1.519175,1.52756
1.527819,1.53431
1.537043,1.543035
1.548843,1.549783
1.555795,1.558491
1.566365,1.567115
1.573105,1.573893
1.579686,1.58437
1.58829,1.593542
1.59488,1.602208
1.603508,1.608944
1.610083,1.615884
1.616662,1.624881
1.625308,1.631641
1.636359,1.642085
1.643132,1.650668
1.65484,1.657272
1.663534,1.663838
1.670275,1.670409
1.678946,1.677003
1.685685,1.688367
1.69226,1.696979
1.698696,1.70674
1.707337,1.715344
1.716062,1.724026
1.728949,1.730779
1.738659,1.741045
1.74542,1.752768
1.75704,1.761779
1.767638,1.77044
1.7763,1.781546
1.784973,1.78835
1.794504,1.800312
1.803106,1.806908
1.811702,1.817026
1.820332,1.824002
1.826898,1.836291
1.833505,1.844934
1.840103,1.857911
1.850363,1.864644
1.859281,1.871071
1.872883,1.879731
1.881539,1.888577
1.8883,1.900208
1.897349,1.906958
1.904095,1.915489
1.912742,1.922272
1.924093,1.93089
1.932832,1.937625
1.93963,1.944194
1.953302,1.950776
1.960081,1.959775
1.969058,1.966371
1.97581,1.976
1.984461,1.986575
1.991212,1.995224
1.999937,2.004133
2.012484,2.010908
2.019099,2.02262
2.029894,2.029351
2.039613,2.03808
2.048395,2.047065
2.05497,2.057307
2.063557,2.065887
2.070329,2.072464
2.082501,2.081137
2.093099,2.092949
2.101922,2.099695
2.11469,2.108345
2.125327,2.117286
2.1321,2.125992
2.138689,2.134565
2.147633,2.144507
2.156282,2.155227
2.163064,2.163837
2.171759,2.173906
2.183832,2.182958
2.192486,2.191618
2.201231,2.200415
2.208184,2.207353
2.220554,2.217203
2.229229,2.22588
2.237874,2.237096
2.244814,2.243858
2.256549,2.254556
2.268915,2.263287
2.275653,2.273429
2.28223,2.284341
2.291563,2.293291
2.298362,2.304703
2.311083,2.311432
2.31782,2.318036
2.324408,2.329548
2.33638,2.338223
2.344999,2.349422
2.351747,2.359701
2.36123,2.368435
2.369917,2.377082
2.378594,2.383835
2.387207,2.393961
2.396954,2.40274
2.403696,2.411456
2.412268,2.418193
2.418852,2.424808
2.427787,2.433769
2.434583,2.442426
2.443961,2.451035
2.452561,2.459768
2.461184,2.470301
2.467961,2.481754
2.478796,2.488723
2.485539,2.498265
2.494093,2.505015
2.500894,2.515671
2.51027,2.524366
2.522547,2.536885
2.534213,2.54822
2.545449,2.557932
2.554144,2.564682
2.563519,2.575002
2.573758,2.584563
2.580523,2.593098
2.589158,2.601697
2.595728,2.608262
2.602185,2.614822
2.613158,2.621431
2.622343,2.630062
2.631023,2.638889
2.637951,2.647496
2.64835,2.654296
2.657071,2.664471
2.669581,2.671213
2.676308,2.679791
2.682916,2.686746
2.696141,2.695479
2.704847,2.708133
2.716649,2.71726
2.725407,2.728599
2.734075,2.737269
2.74269,2.746417
2.749423,2.755163
2.758489,2.763881
2.768724,2.770614
2.777755,2.7772
2.788524,2.786256
2.797222,2.792856
2.809059,2.799428
2.817684,2.80806
2.829342,2.817203
2.843679,2.823809
2.852389,2.832409
2.860984,2.841094
2.867749,2.852529
2.874341,2.86116
2.885134,2.867725
2.893782,2.874129
2.902467,2.882893
2.90922,2.89156
2.919686,2.901759
2.933137,2.908334
2.939685,2.916915
2.946262,2.925656
2.953016,2.932405
