a11849_human_90min_hrMS2,a11850_human_90min_hrMS2
0.007873901,0.007709403
0.02330074,0.02403839
0.03593563,0.03858806
0.05126659,0.05266249
0.0657058,0.06939117
0.07759706,0.08179091
0.09177569,0.09481772
0.1040672,0.1078405
0.1148546,0.1213629
0.1260627,0.1348544
0.1407309,0.1494249
0.1504056,0.1665682
0.1632615,0.1772993
0.1745659,0.1913866
0.1833093,0.2056571
0.1964315,0.2125965
0.2068045,0.2267291
0.2223082,0.2421768
0.2310499,0.2552578
0.2436535,0.274949
0.2573801,0.2879007
0.267803,0.3003798
0.2820028,0.3148482
0.2957294,0.326194
0.3050584,0.3351829
0.3137562,0.3474597
0.3269868,0.3604803
0.3401263,0.3695237
0.3527657,0.3826112
0.3652654,0.3957255
0.3751749,0.4084978
0.3820003,0.4199746
0.3965104,0.4336431
0.4063333,0.4454201
0.4206997,0.4589199
0.4332259,0.4707088
0.4442676,0.4836213
0.4581819,0.4957875
0.4734963,0.5071208
0.4863937,0.522764
0.4984373,0.5367199
0.5129574,0.5519696
0.5250844,0.5635235
0.5398196,0.5770085
0.5522857,0.5875165
0.5643148,0.6017832
0.5793957,0.6165056
0.5926912,0.6299595
0.6073263,0.6424549
0.6221071,0.6569608
0.6311631,0.6691881
0.6424336,0.682883
0.6562417,0.6916119
0.6706581,0.7050244
0.6860638,0.7158076
0.7007074,0.72452
0.7135717,0.7387005
0.7267962,0.7514459
0.7405003,0.7626354
0.7538833,0.7769164
0.7671703,0.7893847
0.7791951,0.8043677
0.7929282,0.8143592
0.8090529,0.8241797
0.8229192,0.8372939
0.835923,0.8506314
0.8497683,0.8639808
0.8620535,0.876041
0.8758824,0.8888037
0.8866529,0.9023696
0.898515,0.9169172
0.9123837,0.9311023
0.925429,0.9447148
0.9353645,0.9581098
0.950187,0.9684325
0.9625596,0.982297
0.9772823,0.9949736
0.9903134,1.005446
1.002886,1.018204
1.01515,1.032217
1.028162,1.045637
1.04063,1.057114
1.050897,1.06831
1.063978,1.082003
1.07639,1.094707
1.090508,1.108948
1.104904,1.124108
1.120108,1.137745
1.135389,1.150872
1.150122,1.162443
1.164953,1.17638
1.17895,1.189313
1.195689,1.204471
1.209341,1.216312
1.221359,1.225479
1.231026,1.23557
1.245159,1.245468
1.255586,1.254205
1.266808,1.265976
1.273621,1.278086
